CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;
Quantidade por Ano/mês compet. e Atende no SUS;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;
Atende no SUS: Sim;;;
Período:Ago/20070Jun/2021;;;
Ano/mês compet.;Ano;Mês;Sim
2007-08-01;2007;Ago;501
2007-09-01;2007;Set;506
2007-10-01;2007;Out;509
2007-11-01;2007;Nov;516
2007-12-01;2007;Dez;524
2008-01-01;2008;Jan;538
2008-02-01;2008;Fev;539
2008-03-01;2008;Mar;548
2008-04-01;2008;Abr;555
2008-05-01;2008;Mai;564
2008-06-01;2008;Jun;572
2008-07-01;2008;Jul;582
2008-08-01;2008;Ago;596
2008-09-01;2008;Set;610
2008-10-01;2008;Out;623
2008-11-01;2008;Nov;628
2008-12-01;2008;Dez;631
2009-01-01;2009;Jan;634
2009-02-01;2009;Fev;638
2009-03-01;2009;Mar;649
2009-04-01;2009;Abr;658
2009-05-01;2009;Mai;659
2009-06-01;2009;Jun;663
2009-07-01;2009;Jul;672
2009-08-01;2009;Ago;674
2009-09-01;2009;Set;678
2009-10-01;2009;Out;690
2009-11-01;2009;Nov;694
2009-12-01;2009;Dez;697
2010-01-01;2010;Jan;696
2010-02-01;2010;Fev;702
2010-03-01;2010;Mar;708
2010-04-01;2010;Abr;710
2010-05-01;2010;Mai;712
2010-06-01;2010;Jun;714
2010-07-01;2010;Jul;720
2010-08-01;2010;Ago;727
2010-09-01;2010;Set;735
2010-10-01;2010;Out;737
2010-11-01;2010;Nov;745
2010-12-01;2010;Dez;747
2011-01-01;2011;Jan;751
2011-02-01;2011;Fev;748
2011-03-01;2011;Mar;758
2011-04-01;2011;Abr;764
2011-05-01;2011;Mai;770
2011-06-01;2011;Jun;782
2011-07-01;2011;Jul;769
2011-08-01;2011;Ago;778
2011-09-01;2011;Set;779
2011-10-01;2011;Out;788
2011-11-01;2011;Nov;789
2011-12-01;2011;Dez;802
2012-01-01;2012;Jan;802
2012-02-01;2012;Fev;808
2012-03-01;2012;Mar;811
2012-04-01;2012;Abr;809
2012-05-01;2012;Mai;807
2012-06-01;2012;Jun;766
2012-07-01;2012;Jul;817
2012-08-01;2012;Ago;816
2012-09-01;2012;Set;822
2012-10-01;2012;Out;826
2012-11-01;2012;Nov;830
2012-12-01;2012;Dez;829
2013-01-01;2013;Jan;841
2013-02-01;2013;Fev;835
2013-03-01;2013;Mar;834
2013-04-01;2013;Abr;850
2013-05-01;2013;Mai;858
2013-06-01;2013;Jun;850
2013-07-01;2013;Jul;854
2013-08-01;2013;Ago;865
2013-09-01;2013;Set;874
2013-10-01;2013;Out;870
2013-11-01;2013;Nov;863
2013-12-01;2013;Dez;888
2014-01-01;2014;Jan;893
2014-02-01;2014;Fev;901
2014-03-01;2014;Mar;905
2014-04-01;2014;Abr;911
2014-05-01;2014;Mai;917
2014-06-01;2014;Jun;924
2014-07-01;2014;Jul;926
2014-08-01;2014;Ago;925
2014-09-01;2014;Set;933
2014-10-01;2014;Out;928
2014-11-01;2014;Nov;932
2014-12-01;2014;Dez;932
2015-01-01;2015;Jan;923
2015-02-01;2015;Fev;928
2015-03-01;2015;Mar;920
2015-04-01;2015;Abr;930
2015-05-01;2015;Mai;924
2015-06-01;2015;Jun;918
2015-07-01;2015;Jul;927
2015-08-01;2015;Ago;932
2015-09-01;2015;Set;936
2015-10-01;2015;Out;936
2015-11-01;2015;Nov;933
2015-12-01;2015;Dez;922
2016-01-01;2016;Jan;915
2016-02-01;2016;Fev;916
2016-03-01;2016;Mar;916
2016-04-01;2016;Abr;918
2016-05-01;2016;Mai;921
2016-06-01;2016;Jun;925
2016-07-01;2016;Jul;926
2016-08-01;2016;Ago;936
2016-09-01;2016;Set;920
2016-10-01;2016;Out;925
2016-11-01;2016;Nov;932
2016-12-01;2016;Dez;930
2017-01-01;2017;Jan;926
2017-02-01;2017;Fev;921
2017-03-01;2017;Mar;929
2017-04-01;2017;Abr;939
2017-05-01;2017;Mai;945
2017-06-01;2017;Jun;945
2017-07-01;2017;Jul;945
2017-08-01;2017;Ago;955
2017-09-01;2017;Set;954
2017-10-01;2017;Out;955
2017-11-01;2017;Nov;954
2017-12-01;2017;Dez;954
2018-01-01;2018;Jan;959
2018-02-01;2018;Fev;959
2018-03-01;2018;Mar;966
2018-04-01;2018;Abr;987
2018-05-01;2018;Mai;993
2018-06-01;2018;Jun;994
2018-07-01;2018;Jul;989
2018-08-01;2018;Ago;991
2018-09-01;2018;Set;990
2018-10-01;2018;Out;991
2018-11-01;2018;Nov;987
2018-12-01;2018;Dez;981
2019-01-01;2019;Jan;978
2019-02-01;2019;Fev;982
2019-03-01;2019;Mar;983
2019-04-01;2019;Abr;994
2019-05-01;2019;Mai;998
2019-06-01;2019;Jun;993
2019-07-01;2019;Jul;1001
2019-08-01;2019;Ago;1004
2019-09-01;2019;Set;1009
2019-10-01;2019;Out;1003
2019-11-01;2019;Nov;1005
2019-12-01;2019;Dez;1004
2020-01-01;2020;Jan;998
2020-02-01;2020;Fev;995
2020-03-01;2020;Mar;991
2020-04-01;2020;Abr;991
2020-05-01;2020;Mai;988
2020-06-01;2020;Jun;988
2020-07-01;2020;Jul;993
2020-08-01;2020;Ago;994
2020-09-01;2020;Set;991
2020-10-01;2020;Out;995
2020-11-01;2020;Nov;993
2020-12-01;2020;Dez;987
2021-01-01;2021;Jan;988
2021-02-01;2021;Fev;977
2021-03-01;2021;Mar;974
2021-04-01;2021;Abr;976
2021-05-01;2021;Mai;983
2021-06-01;2021;Jun;984
