CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Minas Gerais;;;
Quantidade por Ano/mês compet. e Atende no SUS;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;
Atende no SUS: Não;;;
Período:Ago/2007-Jun/2021;;;
Ano/mês compet.;Ano;Mês;Não
2007-08-01;2007;Ago;59
2007-09-01;2007;Set;57
2007-10-01;2007;Out;60
2007-11-01;2007;Nov;61
2007-12-01;2007;Dez;59
2008-01-01;2008;Jan;58
2008-02-01;2008;Fev;63
2008-03-01;2008;Mar;62
2008-04-01;2008;Abr;66
2008-05-01;2008;Mai;65
2008-06-01;2008;Jun;70
2008-07-01;2008;Jul;70
2008-08-01;2008;Ago;71
2008-09-01;2008;Set;74
2008-10-01;2008;Out;76
2008-11-01;2008;Nov;78
2008-12-01;2008;Dez;80
2009-01-01;2009;Jan;81
2009-02-01;2009;Fev;80
2009-03-01;2009;Mar;80
2009-04-01;2009;Abr;84
2009-05-01;2009;Mai;84
2009-06-01;2009;Jun;85
2009-07-01;2009;Jul;85
2009-08-01;2009;Ago;86
2009-09-01;2009;Set;85
2009-10-01;2009;Out;84
2009-11-01;2009;Nov;85
2009-12-01;2009;Dez;88
2010-01-01;2010;Jan;89
2010-02-01;2010;Fev;88
2010-03-01;2010;Mar;90
2010-04-01;2010;Abr;91
2010-05-01;2010;Mai;91
2010-06-01;2010;Jun;91
2010-07-01;2010;Jul;93
2010-08-01;2010;Ago;94
2010-09-01;2010;Set;93
2010-10-01;2010;Out;92
2010-11-01;2010;Nov;92
2010-12-01;2010;Dez;93
2011-01-01;2011;Jan;94
2011-02-01;2011;Fev;102
2011-03-01;2011;Mar;106
2011-04-01;2011;Abr;107
2011-05-01;2011;Mai;108
2011-06-01;2011;Jun;108
2011-07-01;2011;Jul;110
2011-08-01;2011;Ago;108
2011-09-01;2011;Set;110
2011-10-01;2011;Out;111
2011-11-01;2011;Nov;112
2011-12-01;2011;Dez;110
2012-01-01;2012;Jan;110
2012-02-01;2012;Fev;113
2012-03-01;2012;Mar;115
2012-04-01;2012;Abr;115
2012-05-01;2012;Mai;105
2012-06-01;2012;Jun;106
2012-07-01;2012;Jul;107
2012-08-01;2012;Ago;109
2012-09-01;2012;Set;109
2012-10-01;2012;Out;104
2012-11-01;2012;Nov;106
2012-12-01;2012;Dez;106
2013-01-01;2013;Jan;106
2013-02-01;2013;Fev;110
2013-03-01;2013;Mar;112
2013-04-01;2013;Abr;110
2013-05-01;2013;Mai;111
2013-06-01;2013;Jun;113
2013-07-01;2013;Jul;115
2013-08-01;2013;Ago;110
2013-09-01;2013;Set;108
2013-10-01;2013;Out;106
2013-11-01;2013;Nov;107
2013-12-01;2013;Dez;107
2014-01-01;2014;Jan;108
2014-02-01;2014;Fev;109
2014-03-01;2014;Mar;113
2014-04-01;2014;Abr;112
2014-05-01;2014;Mai;112
2014-06-01;2014;Jun;113
2014-07-01;2014;Jul;115
2014-08-01;2014;Ago;112
2014-09-01;2014;Set;115
2014-10-01;2014;Out;119
2014-11-01;2014;Nov;120
2014-12-01;2014;Dez;121
2015-01-01;2015;Jan;123
2015-02-01;2015;Fev;125
2015-03-01;2015;Mar;134
2015-04-01;2015;Abr;136
2015-05-01;2015;Mai;140
2015-06-01;2015;Jun;139
2015-07-01;2015;Jul;140
2015-08-01;2015;Ago;141
2015-09-01;2015;Set;140
2015-10-01;2015;Out;141
2015-11-01;2015;Nov;144
2015-12-01;2015;Dez;145
2016-01-01;2016;Jan;147
2016-02-01;2016;Fev;147
2016-03-01;2016;Mar;146
2016-04-01;2016;Abr;148
2016-05-01;2016;Mai;153
2016-06-01;2016;Jun;156
2016-07-01;2016;Jul;156
2016-08-01;2016;Ago;157
2016-09-01;2016;Set;174
2016-10-01;2016;Out;173
2016-11-01;2016;Nov;171
2016-12-01;2016;Dez;174
2017-01-01;2017;Jan;172
2017-02-01;2017;Fev;172
2017-03-01;2017;Mar;173
2017-04-01;2017;Abr;175
2017-05-01;2017;Mai;175
2017-06-01;2017;Jun;175
2017-07-01;2017;Jul;179
2017-08-01;2017;Ago;180
2017-09-01;2017;Set;179
2017-10-01;2017;Out;180
2017-11-01;2017;Nov;178
2017-12-01;2017;Dez;180
2018-01-01;2018;Jan;179
2018-02-01;2018;Fev;179
2018-03-01;2018;Mar;177
2018-04-01;2018;Abr;184
2018-05-01;2018;Mai;185
2018-06-01;2018;Jun;189
2018-07-01;2018;Jul;202
2018-08-01;2018;Ago;202
2018-09-01;2018;Set;204
2018-10-01;2018;Out;202
2018-11-01;2018;Nov;203
2018-12-01;2018;Dez;208
2019-01-01;2019;Jan;211
2019-02-01;2019;Fev;212
2019-03-01;2019;Mar;213
2019-04-01;2019;Abr;211
2019-05-01;2019;Mai;214
2019-06-01;2019;Jun;218
2019-07-01;2019;Jul;217
2019-08-01;2019;Ago;223
2019-09-01;2019;Set;229
2019-10-01;2019;Out;237
2019-11-01;2019;Nov;244
2019-12-01;2019;Dez;247
2020-01-01;2020;Jan;247
2020-02-01;2020;Fev;247
2020-03-01;2020;Mar;253
2020-04-01;2020;Abr;254
2020-05-01;2020;Mai;254
2020-06-01;2020;Jun;253
2020-07-01;2020;Jul;256
2020-08-01;2020;Ago;255
2020-09-01;2020;Set;257
2020-10-01;2020;Out;257
2020-11-01;2020;Nov;262
2020-12-01;2020;Dez;262
2021-01-01;2021;Jan;275
2021-02-01;2021;Fev;279
2021-03-01;2021;Mar;285
2021-04-01;2021;Abr;285
2021-05-01;2021;Mai;285
2021-06-01;2021;Jun;292
