CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;;;;;;;;;;
Quantidade por Ano/mês compet. e Natureza;;;;;;;;;;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;
Atende no SUS: Sim;;;;;;;;;;;;;;;
Período:Ago/20070Jun/2021;;;;;;;;;;;;;;;
Ano/mês compet.;Ano;Mês;Adm.Dir.Saúde;Adm.Dir.Outros;Autarquias;Fund.Pública;Empr.Pública;Org.Soc.Pública;Empr.Privada;Fund.Privada;Cooperativa;S.Soc.Autônomo;Ent.s/fins.Lucrat.;Natureza não informada;Total
2007-08-01;2007;Ago;227;14;4;41;0;0;55;9;0;2;149;0;501
2007-09-01;2007;Set;229;14;4;41;0;0;57;9;0;2;150;0;506
2007-10-01;2007;Out;232;14;4;42;0;0;57;9;0;2;149;0;509
2007-11-01;2007;Nov;239;14;1;44;0;0;53;9;0;2;154;0;516
2007-12-01;2007;Dez;244;13;1;44;0;0;58;9;0;4;151;0;524
2008-01-01;2008;Jan;239;18;0;43;0;0;68;9;0;4;157;0;538
2008-02-01;2008;Fev;236;20;0;44;0;0;69;9;0;4;157;0;539
2008-03-01;2008;Mar;236;19;2;44;0;0;71;9;0;4;163;0;548
2008-04-01;2008;Abr;233;21;5;46;0;0;73;9;0;4;164;0;555
2008-05-01;2008;Mai;236;22;5;47;0;0;77;8;0;4;165;0;564
2008-06-01;2008;Jun;237;22;5;48;0;0;79;9;0;4;168;0;572
2008-07-01;2008;Jul;246;23;5;48;0;0;77;9;0;4;170;0;582
2008-08-01;2008;Ago;255;23;5;51;0;0;79;9;0;4;170;0;596
2008-09-01;2008;Set;260;23;5;52;0;0;84;8;0;4;174;0;610
2008-10-01;2008;Out;266;23;5;53;0;0;86;8;1;4;177;0;623
2008-11-01;2008;Nov;268;22;5;54;0;0;84;8;1;4;182;0;628
2008-12-01;2008;Dez;266;22;5;54;0;0;84;8;1;4;187;0;631
2009-01-01;2009;Jan;268;22;5;54;0;0;84;8;1;4;188;0;634
2009-02-01;2009;Fev;272;22;5;54;0;0;85;8;1;4;187;0;638
2009-03-01;2009;Mar;280;22;5;54;0;0;85;2;1;4;196;0;649
2009-04-01;2009;Abr;284;22;5;55;0;0;86;2;1;4;199;0;658
2009-05-01;2009;Mai;287;22;5;55;0;0;84;2;1;4;199;0;659
2009-06-01;2009;Jun;289;24;5;55;0;0;85;2;1;4;198;0;663
2009-07-01;2009;Jul;293;24;5;55;0;1;87;2;1;4;200;0;672
2009-08-01;2009;Ago;297;23;5;53;0;1;88;2;2;4;199;0;674
2009-09-01;2009;Set;300;23;5;53;0;1;89;2;2;4;199;0;678
2009-10-01;2009;Out;307;21;5;54;1;1;92;2;2;4;201;0;690
2009-11-01;2009;Nov;307;21;5;54;1;1;93;2;2;4;204;0;694
2009-12-01;2009;Dez;309;22;5;51;1;1;93;2;2;4;207;0;697
2010-01-01;2010;Jan;308;24;4;52;1;1;94;2;2;4;204;0;696
2010-02-01;2010;Fev;312;24;4;52;1;1;93;2;2;4;207;0;702
2010-03-01;2010;Mar;318;26;4;51;1;1;94;2;2;4;205;0;708
2010-04-01;2010;Abr;320;26;4;51;1;1;94;2;2;4;205;0;710
2010-05-01;2010;Mai;317;27;4;51;1;1;95;2;1;4;209;0;712
2010-06-01;2010;Jun;320;26;4;53;1;1;95;2;1;4;207;0;714
2010-07-01;2010;Jul;329;27;4;54;1;1;95;2;1;4;202;0;720
2010-08-01;2010;Ago;329;27;4;57;1;1;95;2;1;4;206;0;727
2010-09-01;2010;Set;331;28;4;57;1;1;99;2;1;4;207;0;735
2010-10-01;2010;Out;334;28;4;59;1;1;100;2;1;4;203;0;737
2010-11-01;2010;Nov;342;29;4;59;1;1;101;2;1;4;201;0;745
2010-12-01;2010;Dez;343;29;4;58;1;1;102;2;1;4;202;0;747
2011-01-01;2011;Jan;346;30;5;58;1;1;100;0;1;4;205;0;751
2011-02-01;2011;Fev;345;32;5;58;1;1;97;0;1;4;204;0;748
2011-03-01;2011;Mar;350;33;5;58;1;0;96;0;1;4;210;0;758
2011-04-01;2011;Abr;353;34;5;57;1;0;95;1;1;4;213;0;764
2011-05-01;2011;Mai;361;38;5;55;1;0;93;1;1;4;211;0;770
2011-06-01;2011;Jun;368;39;5;58;1;0;95;1;1;4;210;0;782
2011-07-01;2011;Jul;366;36;5;55;1;0;90;1;1;4;210;0;769
2011-08-01;2011;Ago;363;37;5;58;1;0;93;1;1;4;215;0;778
2011-09-01;2011;Set;364;36;5;58;1;0;94;1;1;4;215;0;779
2011-10-01;2011;Out;366;37;5;57;1;0;94;1;1;4;222;0;788
2011-11-01;2011;Nov;368;38;5;58;1;0;91;1;1;4;222;0;789
2011-12-01;2011;Dez;374;38;5;61;1;0;91;1;1;4;226;0;802
2012-01-01;2012;Jan;384;38;4;57;1;0;86;1;1;4;226;0;802
2012-02-01;2012;Fev;389;40;4;54;1;0;86;1;1;4;228;0;808
2012-03-01;2012;Mar;388;43;4;55;1;0;86;1;1;4;228;0;811
2012-04-01;2012;Abr;386;43;4;55;1;0;85;1;1;4;229;0;809
2012-05-01;2012;Mai;388;45;4;55;1;0;79;1;1;4;229;0;807
2012-06-01;2012;Jun;378;45;4;52;1;1;78;1;1;4;201;0;766
2012-07-01;2012;Jul;400;45;6;56;1;1;75;1;1;4;227;0;817
2012-08-01;2012;Ago;401;45;6;54;1;1;73;1;1;4;229;0;816
2012-09-01;2012;Set;401;45;7;55;1;1;76;1;1;4;230;0;822
2012-10-01;2012;Out;404;49;8;55;1;1;73;1;1;4;229;0;826
2012-11-01;2012;Nov;407;49;8;56;1;1;69;1;1;4;233;0;830
2012-12-01;2012;Dez;411;49;8;58;1;1;66;1;1;4;229;0;829
2013-01-01;2013;Jan;422;51;8;57;1;1;66;1;1;4;229;0;841
