CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade por Ano/mês compet. e Natureza Jurídica;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atende no SUS: Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Ago/20070Jun/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês compet.;Ano;Mês;10203 Órgão Público do Poder Executivo Estadual ou do Distrito Federal;10301 Órgão Público do Poder Executivo Municipal;11004 Autarquia Federal;11102 Autarquia Estadual ou do Distrito Federal;11200 Autarquia Municipal;11407 Fundação Pública de Direito Público Estadual ou do Distrito Federal;11505 Fundação Pública de Direito Público Municipal;12001 Fundo Público;12100 Consórcio Público de Direito Público (Associação Pública);12404 Município;12600 Fundação Pública de Direito Privado Estadual ou do Distrito Federal;12709 Fundação Pública de Direito Privado Municipal;20101 Empresa Pública;20504 Sociedade Anônima Fechada;20602 Sociedade Empresária Limitada;21305 Empresário (Individual);21403 Cooperativa;22302 Sociedade Simples Pura;22400 Sociedade Simples Limitada;23005 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);23103 Empresa Individual de Responsabilidade Limitada (de Natureza Simples);30609 Fundação Privada;30707 Serviço Social Autônomo;39909 Associação Privada;Não especificado ou ignorado;Total
2007-08-01;2007;Ago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501;501
2007-09-01;2007;Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506;506
2007-10-01;2007;Out;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;509
2007-11-01;2007;Nov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;516;516
2007-12-01;2007;Dez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;524;524
2008-01-01;2008;Jan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;538;538
2008-02-01;2008;Fev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;539;539
2008-03-01;2008;Mar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;548;548
2008-04-01;2008;Abr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;555;555
2008-05-01;2008;Mai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;564;564
2008-06-01;2008;Jun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;572;572
2008-07-01;2008;Jul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582;582
