CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;;;;;;;;;;;;;;;;
Quantidade por Ano/mês compet. e Natureza Jurídica;;;;;;;;;;;;;;;;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;
Atende no SUS: Não;;;;;;;;;;;;;;;;;;;;;
Período:Ago/20070Jun/2021;;;;;;;;;;;;;;;;;;;;;
Ano/mês compet.;Ano;Mês;10105 Órgão Público do Poder Executivo Federal;10301 Órgão Público do Poder Executivo Municipal;10802 Órgão Público do Poder Judiciário Estadual;11102 Autarquia Estadual ou do Distrito Federal;12404 Município;20504 Sociedade Anônima Fechada;20602 Sociedade Empresária Limitada;21305 Empresário (Individual);21403 Cooperativa;22302 Sociedade Simples Pura;22400 Sociedade Simples Limitada;23005 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);23103 Empresa Individual de Responsabilidade Limitada (de Natureza Simples);30609 Fundação Privada;30707 Serviço Social Autônomo;31301 Entidade Sindical;39909 Associação Privada;Não especificado ou ignorado;Total
2007-08-01;2007;Ago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;59
2007-09-01;2007;Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;57
2007-10-01;2007;Out;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;60
2007-11-01;2007;Nov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;61
2007-12-01;2007;Dez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;59
2008-01-01;2008;Jan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;58
2008-02-01;2008;Fev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;63
2008-03-01;2008;Mar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;62
2008-04-01;2008;Abr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;66
2008-05-01;2008;Mai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;65
2008-06-01;2008;Jun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70
2008-07-01;2008;Jul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70
2008-08-01;2008;Ago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;71
2008-09-01;2008;Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;74
2008-10-01;2008;Out;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;76
2008-11-01;2008;Nov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;78
2008-12-01;2008;Dez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;80
2009-01-01;2009;Jan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;81
2009-02-01;2009;Fev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;80
2009-03-01;2009;Mar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;80
2009-04-01;2009;Abr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;84
2009-05-01;2009;Mai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;84
2009-06-01;2009;Jun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;85
2009-07-01;2009;Jul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;85
2009-08-01;2009;Ago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;86
2009-09-01;2009;Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;85
2009-10-01;2009;Out;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;84
2009-11-01;2009;Nov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;85
2009-12-01;2009;Dez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;88
2010-01-01;2010;Jan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;89
2010-02-01;2010;Fev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;88
2010-03-01;2010;Mar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;90
2010-04-01;2010;Abr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;91
2010-05-01;2010;Mai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;91
2010-06-01;2010;Jun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;91
2010-07-01;2010;Jul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;93
2010-08-01;2010;Ago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;94
2010-09-01;2010;Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;93
2010-10-01;2010;Out;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;92
2010-11-01;2010;Nov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;92
2010-12-01;2010;Dez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;93
2011-01-01;2011;Jan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;94
2011-02-01;2011;Fev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;102
2011-03-01;2011;Mar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;106
2011-04-01;2011;Abr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;107
2011-05-01;2011;Mai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;108
2011-06-01;2011;Jun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;108
2011-07-01;2011;Jul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110
2011-08-01;2011;Ago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;108
2011-09-01;2011;Set;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110
2011-10-01;2011;Out;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;111
2011-11-01;2011;Nov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;112
2011-12-01;2011;Dez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110
2012-01-01;2012;Jan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110
2012-02-01;2012;Fev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;113
2012-03-01;2012;Mar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;115
2012-04-01;2012;Abr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;115
2012-05-01;2012;Mai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;105
2012-06-01;2012;Jun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;81
2012-07-01;2012;Jul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;86
2012-08-01;2012;Ago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;90
