CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantidade por Ano/mês compet. e Tipo de Estabelecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atende no SUS: Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Ago/20070Jun/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês compet.;Ano;Mês;academia da saúde;centro de apoio a saúde da família;centro de atenção hemoterápica e/ou hematológica;centro de atenção psicossocial;centro de saude/unidade basica de saude;central de regulacao de servicos de saude;central de notif. captação e distr. órgãos estadua;clinica especializada/ambulatorio especializado;consultorio;cooperativa;farmacia;hospital especializado;hospital geral;hospital dia;policlinica;oficina ortopedica;posto de saude;pronto antedimento;pronto socorro geral;secretaria de saude;servico de atencao domiciliar isolado(home care);unidade de servico de apoio de diagnose e terapia;unidade de vigilancia em saude;unidade mista;telesaúde;total
2007-08-01;2007;Ago;0;0;0;0;64;1;0;272;8;0;0;57;50;0;27;0;0;0;7;0;0;15;0;0;0;501
2007-09-01;2007;Set;0;0;0;0;64;1;0;276;8;0;0;57;49;0;27;0;0;0;8;0;0;16;0;0;0;506
2007-10-01;2007;Out;0;0;0;0;66;1;0;276;8;0;0;55;55;0;26;0;0;0;8;0;0;14;0;0;0;509
2007-11-01;2007;Nov;0;0;0;0;67;1;0;280;8;0;0;52;58;0;26;0;0;0;8;0;0;16;0;0;0;516
2007-12-01;2007;Dez;0;0;0;0;68;1;0;279;9;0;0;58;57;0;28;0;0;0;8;0;0;16;0;0;0;524
2008-01-01;2008;Jan;0;0;0;0;67;1;0;290;9;0;0;58;60;0;28;0;0;0;8;0;0;17;0;0;0;538
2008-02-01;2008;Fev;0;0;0;0;68;1;0;286;11;0;0;56;63;0;28;0;0;0;8;0;0;18;0;0;0;539
2008-03-01;2008;Mar;0;0;0;130;50;1;0;199;11;0;0;54;50;0;26;0;0;0;9;1;0;17;0;0;0;548
2008-04-01;2008;Abr;0;0;0;113;51;1;0;206;11;0;0;54;64;0;28;0;0;0;9;1;0;17;0;0;0;555
2008-05-01;2008;Mai;0;0;1;117;54;1;0;210;11;0;0;52;67;0;27;0;0;0;9;0;0;15;0;0;0;564
2008-06-01;2008;Jun;0;1;1;117;55;1;0;214;11;0;0;54;66;0;27;0;0;0;9;0;0;16;0;0;0;572
2008-07-01;2008;Jul;0;1;1;115;65;1;0;216;10;0;0;54;69;0;28;0;0;0;9;0;0;13;0;0;0;582
